"","temp","date","CDD"
"1",-3.3,2000-01-01,-3.3
"2",-5,2000-01-02,-8.3
"3",4.4,2000-01-03,-3.9
"4",-2.8,2000-01-04,-6.7
"5",-5.6,2000-01-05,-12.3
"6",-3.3,2000-01-06,-15.6
"7",1.1,2000-01-07,-14.5
"8",-2.8,2000-01-08,-17.3
"9",2.2,2000-01-09,-15.1
"10",-3.9,2000-01-10,-19
"11",-2.8,2000-01-11,-21.8
"12",6.7,2000-01-12,-15.1
"13",8.9,2000-01-13,-6.2
"14",0.6,2000-01-14,-5.6
"15",1.1,2000-01-15,-4.5
"16",4.4,2000-01-16,-0.100000000000001
"17",7.2,2000-01-17,7.1
"18",8.9,2000-01-18,16
"19",7.8,2000-01-19,23.8
"20",6.7,2000-01-20,30.5
"21",5,2000-01-21,35.5
"22",7.8,2000-01-22,43.3
"23",15,2000-01-23,58.3
"24",10,2000-01-24,68.3
"25",6.1,2000-01-25,74.4
"26",6.1,2000-01-26,80.5
"27",6.7,2000-01-27,87.2
"28",11.1,2000-01-28,98.3
"29",8.3,2000-01-29,106.6
"30",4.4,2000-01-30,111
"31",-0.6,2000-01-31,110.4
"32",0,2000-02-01,110.4
"33",7.2,2000-02-02,117.6
"34",9.4,2000-02-03,127
"35",8.9,2000-02-04,135.9
"36",7.2,2000-02-05,143.1
"37",7.8,2000-02-06,150.9
"38",5.6,2000-02-07,156.5
"39",4.4,2000-02-08,160.9
"40",7.2,2000-02-09,168.1
"41",10,2000-02-10,178.1
"42",10.6,2000-02-11,188.7
"43",13.3,2000-02-12,202
"44",1.7,2000-02-13,203.7
"45",2.2,2000-02-14,205.9
"46",3.9,2000-02-15,209.8
"47",8.9,2000-02-16,218.7
"48",8.9,2000-02-17,227.6
"49",6.7,2000-02-18,234.3
"50",3.9,2000-02-19,238.2
"51",2.8,2000-02-20,241
"52",0.6,2000-02-21,241.6
"53",-2.2,2000-02-22,239.4
"54",-3.3,2000-02-23,236.1
"55",0,2000-02-24,236.1
"56",0.6,2000-02-25,236.7
"57",4.4,2000-02-26,241.1
"58",5,2000-02-27,246.1
"59",7.2,2000-02-28,253.3
"60",6.7,2000-02-29,260
"61",8.9,2000-03-01,268.9
"62",12.2,2000-03-02,281.1
"63",3.9,2000-03-03,285
"64",4.4,2000-03-04,289.4
"65",9.4,2000-03-05,298.8
"66",0.6,2000-03-06,299.4
"67",-1.1,2000-03-07,298.3
"68",-2.2,2000-03-08,296.1
"69",0,2000-03-09,296.1
"70",1.7,2000-03-10,297.8
"71",3.9,2000-03-11,301.7
"72",4.4,2000-03-12,306.1
"73",2.8,2000-03-13,308.9
"74",5,2000-03-14,313.9
"75",7.8,2000-03-15,321.7
"76",14.4,2000-03-16,336.1
"77",15,2000-03-17,351.1
"78",8.3,2000-03-18,359.4
"79",6.7,2000-03-19,366.1
"80",7.2,2000-03-20,373.3
"81",7.8,2000-03-21,381.1
"82",6.1,2000-03-22,387.2
"83",11.1,2000-03-23,398.3
"84",8.3,2000-03-24,406.6
"85",6.1,2000-03-25,412.7
"86",7.2,2000-03-26,419.9
"87",11.1,2000-03-27,431
"88",13.9,2000-03-28,444.9
"89",13.3,2000-03-29,458.2
"90",13.3,2000-03-30,471.5
"91",14.4,2000-03-31,485.9
"92",17.2,2000-04-01,503.1
"93",15.6,2000-04-02,518.7
"94",18.9,2000-04-03,537.6
"95",11.7,2000-04-04,549.3
"96",12.2,2000-04-05,561.5
"97",17.2,2000-04-06,578.7
