"","temp","date","CDD"
"1",4.3,2000-01-01,4.3
"2",6.1,2000-01-02,10.4
"3",4.9,2000-01-03,15.3
"4",5.7,2000-01-04,21
"5",5.4,2000-01-05,26.4
"6",7.7,2000-01-06,34.1
"7",4.8,2000-01-07,38.9
"8",1.2,2000-01-08,40.1
"9",1.9,2000-01-09,42
"10",6.37,2000-01-10,48.37
"11",3.8,2000-01-11,52.17
"12",4.1,2000-01-12,56.27
"13",5.4,2000-01-13,61.67
"14",5.6,2000-01-14,67.27
"15",4.4,2000-01-15,71.67
"16",6.2,2000-01-16,77.87
"17",2.5,2000-01-17,80.37
"18",5.7,2000-01-18,86.07
"19",7.4,2000-01-19,93.47
"20",7.2,2000-01-20,100.67
"21",3.2,2000-01-21,103.87
"22",3.3,2000-01-22,107.17
"23",8.4,2000-01-23,115.57
"24",7.5,2000-01-24,123.07
"25",8.1,2000-01-25,131.17
"26",5.6,2000-01-26,136.77
"27",6.4,2000-01-27,143.17
"28",5,2000-01-28,148.17
"29",3.6,2000-01-29,151.77
"30",2.9,2000-01-30,154.67
"31",5.4,2000-01-31,160.07
"32",6.2,2000-02-01,166.27
"33",3.8,2000-02-02,170.07
"34",-1.3,2000-02-03,168.77
"35",-0.1,2000-02-04,168.67
"36",3.8,2000-02-05,172.47
"37",2.3,2000-02-06,174.77
"38",5.2,2000-02-07,179.97
"39",5.9,2000-02-08,185.87
"40",7.1,2000-02-09,192.97
"41",5.7,2000-02-10,198.67
"42",3.2,2000-02-11,201.87
"43",2.9,2000-02-12,204.77
"44",0.9,2000-02-13,205.67
"45",3.3,2000-02-14,208.97
"46",4.9,2000-02-15,213.87
"47",6.8,2000-02-16,220.67
"48",8.8,2000-02-17,229.47
"49",6.5,2000-02-18,235.97
"50",2.6,2000-02-19,238.57
"51",3.8,2000-02-20,242.37
"52",2.8,2000-02-21,245.17
"53",4.8,2000-02-22,249.97
"54",7.2,2000-02-23,257.17
"55",7.7,2000-02-24,264.87
"56",6.7,2000-02-25,271.57
"57",10.7,2000-02-26,282.27
"58",5.1,2000-02-27,287.37
"59",4.2,2000-02-28,291.57
