DATE,PRCP,SNWD,TAVG,TMAX,TMIN
1/1/1901,2.2,,,7.5,-1
1/2/1901,2.5,,,0,-4
1/3/1901,0,,,-3,-7
1/4/1901,0,,,-4.5,-11.5
1/5/1901,0,,,-5.5,-13.5
1/6/1901,0,,,-8,-14
1/7/1901,0,,,-4.5,-12
1/8/1901,0,,,-2,-11.5
1/9/1901,0,,,1,-7
1/10/1901,0,,,1,-6
1/11/1901,0,,,4.7,-3.5
1/12/1901,0,,,6,0
1/13/1901,0,,,1,-3
1/14/1901,0,,,-0.5,-6
1/15/1901,0,,,-0.5,-9
1/16/1901,0,,,-2,-7
1/17/1901,0,,,-1,-11
1/18/1901,0,,,0.5,-9
1/19/1901,0,,,3.5,-6.5
1/20/1901,3.2,,,5,-2.5
1/21/1901,6,,,6,1
1/22/1901,0,,,6,2
1/23/1901,0,,,6.5,2.5
1/24/1901,0,,,6.5,1.5
1/25/1901,0.5,,,8.5,2
1/26/1901,3.5,,,6,1.5
1/27/1901,6,,,8.5,3
1/28/1901,11,,,9.5,2.5
1/29/1901,6.1,,,8,-2
1/30/1901,0.4,,,2,-3
1/31/1901,0,,,1.8,-6.5
2/1/1901,14.4,,,2,-4.4
2/2/1901,0.6,,,1.5,-4.2
2/3/1901,0,,,2,-6
2/4/1901,3.5,,,4.5,-1.5
2/5/1901,2,,,6,-1.5
2/6/1901,3,,,2.5,-0.5
2/7/1901,0,,,1.5,-2
2/8/1901,0.7,,,0,-3.5
2/9/1901,0,,,-0.5,-5
2/10/1901,0.2,,,2,-7.5
2/11/1901,0.2,,,2.5,-2.5
2/12/1901,0,,,-1.5,-11
2/13/1901,0.6,,,0.5,-7
2/14/1901,0.1,,,-3,-10
2/15/1901,0,,,-6,-15.5
2/16/1901,3,,,-4.5,-16
2/17/1901,2,,,-0.5,-6
2/18/1901,3.1,,,-3,-10
2/19/1901,0.6,,,-2.5,-12
2/20/1901,0,,,-4,-10.8
2/21/1901,0,,,-6,-16.5
2/22/1901,0,,,-3.5,-17
2/23/1901,0,,,0,-14
2/24/1901,0,,,2.5,-4
2/25/1901,0,,,5,-2
2/26/1901,0,,,7,-1.5
2/27/1901,0,,,8.8,-2.4
2/28/1901,0.6,,,11,2
3/1/1901,0.6,,,9,3
3/2/1901,1.5,,,13,3.2
3/3/1901,4.5,,,10,4
3/4/1901,2,,,7.5,2.5
3/5/1901,2,,,9.5,2.5
3/6/1901,2,,,10,2
3/7/1901,0.1,,,9,2
3/8/1901,0,,,9.5,-0.5
3/9/1901,0,,,6.5,-2
3/10/1901,1.5,,,6,1.5
3/11/1901,0.7,,,6,1
3/12/1901,6,,,4,0
3/13/1901,0.1,,,6,0.5
3/14/1901,0,,,11.5,-0.5
3/15/1901,0.6,,,10.5,2
3/16/1901,4,,,9,3
3/17/1901,0.1,,,12,4
3/18/1901,0,,,12.5,4
3/19/1901,0,,,11,3
3/20/1901,29,,,8,5
3/21/1901,2.5,,,6.5,0
3/22/1901,0.3,,,2.5,-1.5
3/23/1901,0,,,2,-2.5
3/24/1901,0.1,,,2,-2
3/25/1901,0.1,,,7,-3.5
3/26/1901,0,,,3.5,-2.5
3/27/1901,0.7,,,2.8,-5.5
3/28/1901,0,,,1.5,-2.5
3/29/1901,0.2,,,2.5,-4.5
3/30/1901,0,,,12,-4
3/31/1901,0,,,14.5,4.5
4/1/1901,7.7,,,13.3,7.2
4/2/1901,0,,,15.5,5.5
4/3/1901,0,,,17.5,7.5
4/4/1901,3,,,18.5,7.5
4/5/1901,23,,,15.5,5
4/6/1901,1.3,,,14,4
4/7/1901,14.5,,,15.5,11.5
4/8/1901,6,,,17,11.5
4/9/1901,18.4,,,13,9
4/10/1901,10.5,,,11.5,6.5
4/11/1901,5.5,,,15.5,5
4/12/1901,3.5,,,12.4,5
4/13/1901,3,,,8.5,3
4/14/1901,5.5,,,11.5,3
4/15/1901,3.4,,,15,7.5
4/16/1901,4.4,,,11,2
4/17/1901,0.8,,,8.5,2.5
4/18/1901,0,,,9.5,0.2
