DATE,PRCP,SNWD,TAVG,TMAX,TMIN
9/1/1936,,,24.5,,
9/2/1936,,,22.4,,
9/3/1936,,,23.3,,
9/4/1936,,,23.9,,
9/5/1936,,,23.3,,
9/6/1936,,,22.8,,
9/7/1936,,,24.8,,
9/8/1936,,,28.2,,
9/9/1936,,,29.9,,
9/10/1936,,,25.6,,
9/11/1936,,,27.1,,
9/12/1936,,,29.2,,
9/13/1936,,,29.2,,
9/14/1936,,,24.2,,
9/15/1936,,,24.3,,
9/16/1936,,,26.4,,
9/17/1936,,,24.8,,
9/18/1936,,,20.3,,
9/19/1936,,,23.9,,
9/20/1936,,,20.7,,
9/21/1936,,,25.1,,
9/22/1936,,,27.7,,
9/23/1936,,,26.8,,
9/24/1936,,,24,,
9/25/1936,,,16.2,,
9/26/1936,,,18.3,,
9/27/1936,,,20.9,,
9/28/1936,,,23.7,,
9/29/1936,,,14.3,,
9/30/1936,,,12.1,,
10/1/1936,,,18.8,,
10/2/1936,,,19.2,,
10/3/1936,,,18.2,,
10/4/1936,,,16.4,,
10/5/1936,,,17.8,,
10/6/1936,,,19.9,,
10/7/1936,,,22.3,,
10/8/1936,,,25,,
10/9/1936,,,21.1,,
10/10/1936,,,24.2,,
10/11/1936,,,18.9,,
10/12/1936,,,19.1,,
10/13/1936,,,15.2,,
10/14/1936,,,19.9,,
10/15/1936,,,21.1,,
10/16/1936,,,19.9,,
10/17/1936,,,20.9,,
10/18/1936,,,12.8,,
10/19/1936,,,16.8,,
10/20/1936,,,20.7,,
10/21/1936,,,20.7,,
10/22/1936,,,22.9,,
10/23/1936,,,17.2,,
10/24/1936,,,15.9,,
10/25/1936,,,14.4,,
10/26/1936,,,16.3,,
10/27/1936,,,4.6,,
10/28/1936,,,7,,
10/29/1936,,,12.2,,
10/30/1936,,,10.7,,
10/31/1936,,,9.7,,
11/1/1936,,,12.7,,
11/2/1936,,,20.7,,
11/3/1936,,,22.3,,
11/4/1936,,,23.4,,
11/5/1936,,,8.8,,
11/6/1936,,,9.6,,
11/7/1936,,,12.3,,
11/8/1936,,,13.1,,
11/9/1936,,,11.1,,
11/10/1936,,,10.2,,
11/11/1936,,,6.4,,
11/12/1936,,,8.8,,
11/13/1936,,,10.2,,
11/14/1936,,,10.7,,
11/15/1936,,,7.4,,
11/16/1936,,,4.7,,
11/17/1936,,,9,,
11/18/1936,,,9.1,,
11/19/1936,,,-0.9,,
11/20/1936,,,7.7,,
11/21/1936,,,13,,
11/22/1936,,,6,,
11/23/1936,,,6.3,,
11/24/1936,,,7.5,,
11/25/1936,,,6.4,,
11/26/1936,,,1.3,,
11/27/1936,,,-1.5,,
11/28/1936,,,1.4,,
11/29/1936,,,6.8,,
11/30/1936,,,0.5,,
12/1/1936,,,-2.4,,
12/2/1936,,,2.6,,
12/3/1936,,,5.2,,
12/4/1936,,,6.6,,
12/5/1936,,,2.9,,
12/6/1936,,,1.7,,
12/7/1936,,,3.7,,
12/8/1936,,,-0.3,,
12/9/1936,,,3.5,,
12/10/1936,,,5.7,,
12/11/1936,,,7.1,,
12/12/1936,,,5,,
12/13/1936,,,3.6,,
12/14/1936,,,4.5,,
12/15/1936,,,6.7,,
12/16/1936,,,3.3,,
12/17/1936,,,9.4,,
12/18/1936,,,2.2,,
12/19/1936,,,0.7,,
12/20/1936,,,4.8,,
12/21/1936,,,4.2,,
12/22/1936,,,2.1,,
