DATE,TMAX,TAVG,TMIN,PRCP,SNDW
2/11/22,8,5.09,2.2,0,0
2/10/22,6.8,5.09,3.4,0.2,0
2/9/22,8.7,7.25,5.8,0.9,0
2/8/22,8,5.45,2.9,2.9,0
2/7/22,11.8,7.35,2.9,0,0
2/6/22,7.4,3.5,-0.4,0,0
2/5/22,7.5,5.7,3.9,0,0
2/4/22,8.6,6.19,3.8,3.3,0
2/3/22,5.9,3.85,1.8,7.3,0
2/2/22,2,0.09,-1.8,0.3,0
2/1/22,6.1,2.84,-0.4,0,0
1/31/22,7,5.35,3.7,0,0
1/30/22,7.6,6.1,4.6,14,0
1/29/22,7,3.4,-0.2,6.4,0
1/28/22,8,2.9,-2.2,0,0
1/27/22,4.8,2.19,-0.4,0,0
1/26/22,3.4,2.29,1.2,0,0
1/25/22,3,2.15,1.3,0,0
1/24/22,4.3,3.25,2.2,0,0
1/23/22,4.3,2.15,0,0,0
1/22/22,7,4.2,1.4,0,0
1/21/22,7.6,4.9,2.2,0,0
1/20/22,11.7,8.89,6.1,11,0
1/19/22,9.6,8.05,6.5,8,0
1/18/22,7,6.25,5.5,3.1,0
1/17/22,7.3,5.65,4,1.7,0
1/16/22,6.5,5.6,4.7,0,0
1/15/22,7,5.15,3.3,0.2,0
1/14/22,9.8,7.45,5.1,0,0
1/13/22,11.1,7.5,3.9,0.2,0
1/12/22,11.5,10.19,8.9,29.3,0
1/11/22,10,8.35,6.7,17.7,0
1/10/22,8.5,3.55,-1.4,4.6,0
1/9/22,6.7,2.6,-1.5,0,0
1/8/22,3.4,0.64,-2.1,3,0
1/7/22,4.6,2.95,1.3,7.6,0
1/6/22,3.9,0.19,-3.5,16.4,12
1/5/22,0.8,-1.29,-3.4,0.9,
1/4/22,4.9,2.55,0.2,7,0.4
1/3/22,5.4,3.5,1.6,7.6,0
1/2/22,5,2.75,0.5,8.6,3.7
1/1/22,1.4,-4.2,-9.8,0,0
12/31/21,-2.5,-6.7,-10.9,0,0
12/30/21,-0.7,-4.39,-8.1,4.7,2
12/29/21,-4.1,-7.9,-11.7,0,0.2
12/28/21,-4.4,-8.6,-12.8,0,0
12/27/21,-7.8,-11.55,-15.3,0.8,1
12/26/21,-5.7,-8.25,-10.8,3,4
12/25/21,0.6,-2.6,-5.8,1.6,2.2
12/24/21,3.6,1.85,0.1,8.7,6.9
12/23/21,7,4.4,1.8,2.4,0
12/22/21,8.9,4.9,0.9,3.4,0
12/21/21,1.4,-2.4,-6.2,6.5,0
12/20/21,2.4,-1.05,-4.5,0,0
12/19/21,5.8,1.65,-2.5,0,0
12/18/21,7.9,4.25,0.6,31.3,0
12/17/21,2.2,0.05,-2.1,1.9,0
12/16/21,6.3,3,-0.3,0.7,0
12/15/21,7.3,4.9,2.5,0,0
12/14/21,4.7,2.55,0.4,0.8,0
12/13/21,5.9,3.95,2,8.4,0
12/12/21,5.1,3.09,1.1,3.9,0
12/11/21,8.3,4.85,1.4,5.6,0
12/10/21,6.6,2.75,-1.1,11.3,0
12/9/21,6.2,3,-0.2,0.6,0
12/8/21,8.4,4.35,0.3,0,0
12/7/21,7,4.75,2.5,3.4,0
12/6/21,3.8,1.95,0.1,6.2,2.4
12/5/21,4.4,0.95,-2.5,0,0
12/4/21,5.2,3.45,1.7,2.7,0
12/3/21,6.3,2.2,-1.9,0,0
12/2/21,10.4,6.1,1.8,0,0
12/1/21,12.5,10.65,8.8,1.7,0
11/30/21,11.1,10.25,9.4,16.5,0
11/29/21,12.8,11.25,9.7,3.1,0
11/28/21,12.3,10.55,8.8,24.6,0
11/27/21,11.8,9.15,6.5,20.2,0
11/26/21,10.9,8.4,5.9,2.8,0
11/25/21,7.4,6.25,5.1,27.3,0
11/24/21,7.5,5,2.5,2,0
11/23/21,8.6,6.75,4.9,0,0
11/22/21,8.4,4.15,-0.1,0,0
11/21/21,9.5,5.7,1.9,0,0
11/20/21,7.3,5,2.7,0,0
11/19/21,7.5,4.84,2.2,0,0
11/18/21,5,3.95,2.9,6.6,0
11/17/21,6.5,2.5,-1.5,0,0
11/16/21,7.8,4.45,1.1,0,0
11/15/21,12.4,8.85,5.3,47.8,0
11/14/21,12.4,9,5.6,52.5,0
11/13/21,9,6.45,3.9,19.9,0
11/12/21,13,9.9,6.8,1,0
11/11/21,9.7,8,6.3,13.3,0
11/10/21,9.1,6.55,4,0.3,0
11/9/21,12.1,9.25,6.4,15.2,0
11/8/21,10.5,7.35,4.2,0.6,0
11/7/21,8.8,6.35,3.9,6.2,0
11/6/21,8.6,6.85,5.1,3.8,0
11/5/21,11.2,9.14,7.1,4.9,0
11/4/21,13.8,10.85,7.9,15.7,0
11/3/21,12.8,11.25,9.7,10.7,0
11/2/21,11.3,8.25,5.2,10.8,0
11/1/21,9.8,4.65,-0.5,6.6,0
10/31/21,9.7,4.5,-0.7,0,0
10/30/21,9.4,4.7,0,0,0
10/29/21,10.3,7.35,4.4,0,0
10/28/21,9.7,8.69,7.7,18.7,0
10/27/21,13.3,10.35,7.4,0.3,0
10/26/21,12,10.35,8.7,4.4,0
10/25/21,13.1,11.95,10.8,1.9,0
10/24/21,13.1,11.2,9.3,3.5,0
10/23/21,11.6,10.35,9.1,0.6,0
