"NAME","DATE","Rain_cm","average_temperature","max_temperature","min_temperature","year","MONTH","DAY","YEAR","doy"
"KYOTO, JA","1953-02-01",0.4,0.6,4.9,-2.4,1953,2,1,1953,1953-02-01
"KYOTO, JA","1953-02-02",0.1,1.4,6.2,-3.5,1953,2,2,1953,1953-02-02
"KYOTO, JA","1953-02-03",0,2.1,7.4,-1.4,1953,2,3,1953,1953-02-03
"KYOTO, JA","1953-02-04",0,2.2,4.7,-1.4,1953,2,4,1953,1953-02-04
"KYOTO, JA","1953-02-05",0,2.7,8.4,0.4,1953,2,5,1953,1953-02-05
"KYOTO, JA","1953-02-06",0,2.8,6.6,-3.2,1953,2,6,1953,1953-02-06
"KYOTO, JA","1953-02-07",0,3.3,10.1,-0.4,1953,2,7,1953,1953-02-07
"KYOTO, JA","1953-02-08",0,1.2,7.3,-3.5,1953,2,8,1953,1953-02-08
"KYOTO, JA","1953-02-09",0,3.1,8.7,-3.4,1953,2,9,1953,1953-02-09
"KYOTO, JA","1953-02-10",5.6,6.4,10.8,0.6,1953,2,10,1953,1953-02-10
"KYOTO, JA","1953-02-11",0,8,15.4,3.3,1953,2,11,1953,1953-02-11
"KYOTO, JA","1953-02-12",4.4,8.1,10.7,1.4,1953,2,12,1953,1953-02-12
"KYOTO, JA","1953-02-13",13.1,6.8,10.2,5.4,1953,2,13,1953,1953-02-13
"KYOTO, JA","1953-02-14",0,5.7,9.8,2.2,1953,2,14,1953,1953-02-14
"KYOTO, JA","1953-02-15",0.2,4,12.2,3.5,1953,2,15,1953,1953-02-15
"KYOTO, JA","1953-02-16",0,1.82965515282088,6.3,-1.7,1953,2,16,1953,1953-02-16
"KYOTO, JA","1953-02-17",0,3.1,7.4,-0.7,1953,2,17,1953,1953-02-17
"KYOTO, JA","1953-02-18",0,1.4,6.2,-0.4,1953,2,18,1953,1953-02-18
"KYOTO, JA","1953-02-19",0,2.8,7,-3.5,1953,2,19,1953,1953-02-19
"KYOTO, JA","1953-02-20",0,3.1,8,-0.3,1953,2,20,1953,1953-02-20
"KYOTO, JA","1953-02-21",14,0.8,1.7,-0.4,1953,2,21,1953,1953-02-21
"KYOTO, JA","1953-02-22",0.8,0.4,5.7,-0.5,1953,2,22,1953,1953-02-22
"KYOTO, JA","1953-02-23",0,3.2,6.3,-4.2,1953,2,23,1953,1953-02-23
"KYOTO, JA","1953-02-24",4.4,7.4,10.2,-0.2,1953,2,24,1953,1953-02-24
"KYOTO, JA","1953-02-25",20.7,7.7,9.1,5.1,1953,2,25,1953,1953-02-25
"KYOTO, JA","1953-02-26",0,6.1,12.5,6,1953,2,26,1953,1953-02-26
"KYOTO, JA","1953-02-27",0,6,14.2,-1.2,1953,2,27,1953,1953-02-27
"KYOTO, JA","1953-02-28",16.8,11.2,18,0,1953,2,28,1953,1953-02-28
"KYOTO, JA","1953-03-01",7.3,11.9,15.8,5.6,1953,3,1,1953,1953-03-01
"KYOTO, JA","1953-03-02",5.1,12.1,15,9.9,1953,3,2,1953,1953-03-02
"KYOTO, JA","1953-03-03",0,7.5,13.8,6.9,1953,3,3,1953,1953-03-03
"KYOTO, JA","1953-03-04",0,4.8,11.2,0.9,1953,3,4,1953,1953-03-04
"KYOTO, JA","1953-03-05",1.1,5.2,8.5,3,1953,3,5,1953,1953-03-05
"KYOTO, JA","1953-03-06",0,5.6,13,0.5,1953,3,6,1953,1953-03-06
"KYOTO, JA","1953-03-07",7.9,11.4,19.4,-0.4,1953,3,7,1953,1953-03-07
"KYOTO, JA","1953-03-08",0,6.1,12.9,4.3,1953,3,8,1953,1953-03-08
"KYOTO, JA","1953-03-09",0,7.4,15.9,-1.3,1953,3,9,1953,1953-03-09
"KYOTO, JA","1953-03-10",0,12.3,19.2,0.1,1953,3,10,1953,1953-03-10
"KYOTO, JA","1953-03-11",49.9,12.9,18,7.7,1953,3,11,1953,1953-03-11
"KYOTO, JA","1953-03-12",2.5,7.1,12.5,7,1953,3,12,1953,1953-03-12
"KYOTO, JA","1953-03-13",0.1,7.2,12.1,1.2,1953,3,13,1953,1953-03-13
"KYOTO, JA","1953-03-14",0,8.3,13.6,2.2,1953,3,14,1953,1953-03-14
"KYOTO, JA","1953-03-15",0,8.5,12.4,3.7,1953,3,15,1953,1953-03-15
"KYOTO, JA","1953-03-16",9.4,5.9,9.6,6,1953,3,16,1953,1953-03-16
"KYOTO, JA","1953-03-17",0,6.7,13,3.4,1953,3,17,1953,1953-03-17
"KYOTO, JA","1953-03-18",0,9.2,16.8,-1.5,1953,3,18,1953,1953-03-18
"KYOTO, JA","1953-03-19",4.4,12.5,19.6,2.2,1953,3,19,1953,1953-03-19
"KYOTO, JA","1953-03-20",3.7,12.8,15.2,9,1953,3,20,1953,1953-03-20
"KYOTO, JA","1953-03-21",2,7.9,13.7,8.6,1953,3,21,1953,1953-03-21
"KYOTO, JA","1953-03-22",9.7,11,18.2,2.7,1953,3,22,1953,1953-03-22
"KYOTO, JA","1953-03-23",3.1,9.4,14,5.5,1953,3,23,1953,1953-03-23
"KYOTO, JA","1953-03-24",0.2,12.1,19.2,2.8,1953,3,24,1953,1953-03-24
"KYOTO, JA","1953-03-25",1.5,11.6,18.3,7.8,1953,3,25,1953,1953-03-25
"KYOTO, JA","1953-03-26",0.1,6.9,12.1,4.5,1953,3,26,1953,1953-03-26
"KYOTO, JA","1953-03-27",0,7.7,11.4,4.3,1953,3,27,1953,1953-03-27
"KYOTO, JA","1953-03-28",24.7,6.2,10.4,4.9,1953,3,28,1953,1953-03-28
"KYOTO, JA","1953-03-29",0.3,5.8,10.2,3.6,1953,3,29,1953,1953-03-29
"KYOTO, JA","1953-03-30",0,6.1,11.3,3.1,1953,3,30,1953,1953-03-30
"KYOTO, JA","1953-03-31",0,6.5,11.3,1.2,1953,3,31,1953,1953-03-31
"KYOTO, JA","1953-04-01",0,8.4,15.1,2,1953,4,1,1953,1953-04-01
"KYOTO, JA","1953-04-02",0,11.7,17.6,2.6,1953,4,2,1953,1953-04-02
"KYOTO, JA","1953-04-03",0,10.7,15.9,7.5,1953,4,3,1953,1953-04-03
"KYOTO, JA","1953-04-04",0.8,8.1,17.6,2.9,1953,4,4,1953,1953-04-04
"KYOTO, JA","1953-04-05",0,10.6,16.6,3.6,1953,4,5,1953,1953-04-05
"KYOTO, JA","1953-04-06",2.8,8.3,11.1,6.1,1953,4,6,1953,1953-04-06
"KYOTO, JA","1953-04-07",0,8.8,14.3,3.2,1953,4,7,1953,1953-04-07
"KYOTO, JA","1953-04-08",0,12.1,20.5,2.4,1953,4,8,1953,1953-04-08
"KYOTO, JA","1953-04-09",0.2,15.2,21.2,4,1953,4,9,1953,1953-04-09
"KYOTO, JA","1953-04-10",11.1,14,19.3,11.5,1953,4,10,1953,1953-04-10
"KYOTO, JA","1953-04-11",0.2,14.4,19.4,12.5,1953,4,11,1953,1953-04-11
"KYOTO, JA","1953-04-12",0,7.9,14.4,7.3,1953,4,12,1953,1953-04-12
"KYOTO, JA","1953-04-13",0.3,8.8,14.9,1.2,1953,4,13,1953,1953-04-13
"KYOTO, JA","1953-04-14",0,10.3,19,2.9,1953,4,14,1953,1953-04-14
"KYOTO, JA","1953-04-15",1.7,11,15.6,1.4,1953,4,15,1953,1953-04-15
"KYOTO, JA","1953-04-16",0,10.7,17.4,8.8,1953,4,16,1953,1953-04-16
"KYOTO, JA","1953-04-17",0,7.7,14.8,2,1953,4,17,1953,1953-04-17
"KYOTO, JA","1953-04-18",0,9.6,16.6,0.7,1953,4,18,1953,1953-04-18
"KYOTO, JA","1953-04-19",0,11.6,18.8,5.1,1953,4,19,1953,1953-04-19
"KYOTO, JA","1953-04-20",0.6,14.3,20.8,3,1953,4,20,1953,1953-04-20
"KYOTO, JA","1953-04-21",0,11.7,17.8,7.6,1953,4,21,1953,1953-04-21
"KYOTO, JA","1953-04-22",0,10.4,17.6,3.2,1953,4,22,1953,1953-04-22
"KYOTO, JA","1953-04-23",0,11,18.6,0.9,1953,4,23,1953,1953-04-23
"KYOTO, JA","1953-04-24",0,10.7,19.3,3.1,1953,4,24,1953,1953-04-24
"KYOTO, JA","1953-04-25",0,12.9,21.2,1.8,1953,4,25,1953,1953-04-25
"KYOTO, JA","1953-04-26",1.1,17,25,4.3,1953,4,26,1953,1953-04-26
"KYOTO, JA","1953-04-27",0,17.3,24.6,10.8,1953,4,27,1953,1953-04-27
"KYOTO, JA","1953-04-28",0,19.6,27.4,9.7,1953,4,28,1953,1953-04-28
"KYOTO, JA","1953-04-29",14.5,20.4,25.6,12,1953,4,29,1953,1953-04-29
