"","temp","date"
"1",3.6,2022-02-09
"2",1.6,2022-02-10
"3",-0.5,2022-02-11
"4",-0.8,2022-02-12
"5",-0.1,2022-02-13
"6",3.1,2022-02-14
"7",3.8,2022-02-15
"8",-0.6,2022-02-16
"9",-1.1,2022-02-17
"10",0.5,2022-02-18
"11",-0.5,2022-02-19
"12",-0.8,2022-02-20
"13",1.1,2022-02-21
"14",5,2022-02-22
"15",7.8,2022-02-23
"16",10.9,2022-02-24
"17",7.2,2022-02-25
"18",5.8,2022-02-26
"19",7.9,2022-02-27
"20",8.3,2022-02-28
"21",4.1,2022-03-01
"22",6.2,2022-03-02
"23",8.7,2022-03-03
"24",2.2,2022-03-04
"25",3.9,2022-03-05
"26",3.4,2022-03-06
"27",4.9,2022-03-07
"28",10.3,2022-03-08
"29",13.3,2022-03-09
"30",16.6,2022-03-11
